Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor
º C,W/g,º C,W/g,º C,W/g,º C,W/g
20 ºC/min,20 ºC/min,15 ºC/min,15 ºC/min,10 ºC/min,10 ºC/min,5 ºC/min,5 ºC/min
"92,68035","-1,078824","89,50921","-0,7010041","86,33468","-0,4740048","83,68631","-0,2434192"
"92,74688","-1,078171","89,55984","-0,7006682","86,36751","-0,4733705","83,71116","-0,242786"
"92,81375","-1,07756","89,60953","-0,70034","86,40082","-0,4728254","83,73618","-0,2421824"
"92,88113","-1,076962","89,65918","-0,7000506","86,43403","-0,4722335","83,75437","-0,2416969"
"92,94772","-1,076377","89,71024","-0,6997334","86,46781","-0,4715828","83,7698","-0,2411304"
"93,01499","-1,075736","89,76088","-0,6994519","86,50231","-0,4709082","83,787","-0,240615"
"93,08225","-1,075007","89,81055","-0,6991694","86,53501","-0,4702818","83,8039","-0,2401541"
"93,14892","-1,074262","89,86056","-0,6989142","86,56851","-0,4696754","83,82938","-0,239399"
"93,21631","-1,073491","89,91049","-0,6986688","86,602","-0,4689772","83,85395","-0,2386309"
"93,28292","-1,072684","89,96044","-0,6984531","86,63579","-0,4682694","83,87062","-0,2381375"
"93,35109","-1,071832","90,01124","-0,698244","86,66999","-0,4676353","83,88769","-0,2377139"
"93,4168","-1,07092","90,06094","-0,6980022","86,7034","-0,4670022","83,90425","-0,2372614"
"93,48431","-1,069972","90,11175","-0,6977387","86,73674","-0,4662847","83,92134","-0,236779"
"93,55126","-1,068991","90,16116","-0,6974453","86,77049","-0,4654796","83,94691","-0,236026"
"93,6185","-1,067997","90,21149","-0,6971562","86,80353","-0,4647146","83,9716","-0,2352115"
"93,68579","-1,067008","90,26159","-0,6968176","86,83756","-0,4639242","83,98886","-0,2347215"
"93,75226","-1,065927","90,31182","-0,69644","86,87086","-0,4631262","84,00562","-0,2342165"
"93,81947","-1,064593","90,36203","-0,6960513","86,90489","-0,4623004","84,02247","-0,2336851"
"93,88588","-1,063304","90,41181","-0,6956587","86,93726","-0,461469","84,03936","-0,2331757"
"93,95391","-1,061993","90,46256","-0,6952638","86,97199","-0,4606458","84,06406","-0,2324522"
"94,02066","-1,060564","90,51181","-0,6948441","87,00543","-0,4598211","84,08901","-0,2316492"
"94,08741","-1,058978","90,56201","-0,694416","87,03939","-0,4590537","84,1059","-0,2310944"
"94,15574","-1,057729","90,61249","-0,6939462","87,07342","-0,4583194","84,12265","-0,2305483"
"94,22181","-1,056436","90,66314","-0,6934262","87,10669","-0,4575633","84,13974","-0,2300298"
"94,28902","-1,055154","90,71394","-0,6928691","87,14012","-0,4568096","84,15647","-0,2294502"
"94,35632","-1,053784","90,76345","-0,6923087","87,17376","-0,4560525","84,17339","-0,2288778"
"94,42286","-1,05242","90,81329","-0,6917563","87,20644","-0,455376","84,19851","-0,2280404"
"94,49056","-1,051142","90,8635","-0,6911511","87,24097","-0,4546589","84,22434","-0,2272625"
"94,55718","-1,049839","90,91401","-0,690473","87,27452","-0,4539262","84,24084","-0,2267844"
"94,62486","-1,04855","90,96461","-0,689869","87,30844","-0,4531846","84,25705","-0,2262825"
"94,69219","-1,047","91,015","-0,6892642","87,34132","-0,4523937","84,27472","-0,2257958"
"94,75891","-1,045157","91,0645","-0,6885919","87,37495","-0,4516196","84,29062","-0,2253674"
"94,82601","-1,043423","91,11509","-0,6878812","87,40908","-0,450869","84,31664","-0,2246795"
